G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 18 2017,7:00p ET,,Box Score,,Brooklyn Nets,W,,140,131,1,0,W 1,
2,Fri Oct 20 2017,7:00p ET,,Box Score,,Portland Trail Blazers,L,,96,114,1,1,L 1,
3,Sat Oct 21 2017,8:00p ET,,Box Score,@,Miami Heat,L,,108,112,1,2,L 2,
4,Tue Oct 24 2017,8:00p ET,,Box Score,@,Minnesota Timberwolves,W,,130,107,2,2,W 1,
5,Wed Oct 25 2017,8:00p ET,,Box Score,@,Oklahoma City Thunder,L,,96,114,2,3,L 1,
6,Sun Oct 29 2017,4:30p ET,,Box Score,,San Antonio Spurs,W,,97,94,3,3,W 1,
7,Tue Oct 31 2017,7:00p ET,,Box Score,,Sacramento Kings,W,,101,83,4,3,W 2,
8,Wed Nov 1 2017,7:00p ET,,Box Score,@,Cleveland Cavaliers,W,,124,107,5,3,W 3,
9,Fri Nov 3 2017,7:00p ET,,Box Score,@,Philadelphia 76ers,L,,110,121,5,4,L 1,
10,Sun Nov 5 2017,7:30p ET,,Box Score,@,New York Knicks,L,,101,108,5,5,L 2,
11,Tue Nov 7 2017,7:00p ET,,Box Score,,New Orleans Pelicans,L,,112,117,5,6,L 3,
12,Wed Nov 8 2017,7:00p ET,,Box Score,@,Detroit Pistons,L,,97,114,5,7,L 4,
13,Fri Nov 10 2017,8:00p ET,,Box Score,@,Chicago Bulls,W,,105,87,6,7,W 1,
14,Sun Nov 12 2017,6:00p ET,,Box Score,,Houston Rockets,L,,95,118,6,8,L 1,
15,Wed Nov 15 2017,8:00p ET,,Box Score,@,Memphis Grizzlies,W,,116,113,7,8,W 1,
16,Fri Nov 17 2017,7:00p ET,,Box Score,,Detroit Pistons,W,,107,100,8,8,W 2,
17,Sun Nov 19 2017,5:00p ET,,Box Score,@,Miami Heat,W,,120,95,9,8,W 3,
18,Mon Nov 20 2017,7:00p ET,,Box Score,@,Orlando Magic,W,,105,97,10,8,W 4,
19,Fri Nov 24 2017,8:00p ET,,Box Score,,Toronto Raptors,W,,107,104,11,8,W 5,
