G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 18 2017,7:00p ET,,Box Score,,Miami Heat,W,,116,109,1,0,W 1,
2,Fri Oct 20 2017,7:30p ET,,Box Score,@,Brooklyn Nets,L,,121,126,1,1,L 1,
3,Sat Oct 21 2017,8:00p ET,,Box Score,@,Cleveland Cavaliers,W,,114,93,2,1,W 1,
4,Tue Oct 24 2017,7:00p ET,,Box Score,,Brooklyn Nets,W,,125,121,3,1,W 2,
5,Fri Oct 27 2017,7:00p ET,,Box Score,,San Antonio Spurs,W,,114,87,4,1,W 3,
6,Sun Oct 29 2017,6:00p ET,,Box Score,@,Charlotte Hornets,L,,113,120,4,2,L 1,
7,Mon Oct 30 2017,8:00p ET,,Box Score,@,New Orleans Pelicans,W,,115,99,5,2,W 1,
8,Wed Nov 1 2017,8:00p ET,,Box Score,@,Memphis Grizzlies,W,,101,99,6,2,W 2,
9,Fri Nov 3 2017,7:00p ET,,Box Score,,Chicago Bulls,L,,83,105,6,3,L 1,
10,Sun Nov 5 2017,6:00p ET,,Box Score,,Boston Celtics,L,,88,104,6,4,L 2,
11,Wed Nov 8 2017,7:00p ET,,Box Score,,New York Knicks,W,,112,99,7,4,W 1,
12,Fri Nov 10 2017,9:00p ET,,Box Score,@,Phoenix Suns,W,,128,112,8,4,W 2,
13,Sat Nov 11 2017,9:00p ET,,Box Score,@,Denver Nuggets,L,,107,125,8,5,L 1,
14,Mon Nov 13 2017,10:30p ET,,Box Score,@,Golden State Warriors,L,,100,110,8,6,L 2,
15,Wed Nov 15 2017,10:00p ET,,Box Score,@,Portland Trail Blazers,L,,94,99,8,7,L 3,
16,Sat Nov 18 2017,7:00p ET,,Box Score,,Utah Jazz,L,,85,125,8,8,L 4,
17,Mon Nov 20 2017,7:00p ET,,Box Score,,Indiana Pacers,L,,97,105,8,9,L 5,
18,Wed Nov 22 2017,8:00p ET,,Box Score,@,Minnesota Timberwolves,L,,118,124,8,10,L 6,
19,Fri Nov 24 2017,7:30p ET,,Box Score,@,Boston Celtics,L,,103,118,8,11,L 7,
20,Sat Nov 25 2017,7:00p ET,,Box Score,@,Philadelphia 76ers,L,,111,130,8,12,L 8,
21,Mon Nov 27 2017,7:00p ET,,Box Score,@,Indiana Pacers,L,,109,121,8,13,L 9,
22,Wed Nov 29 2017,7:00p ET,,Box Score,,Oklahoma City Thunder,W,,121,108,9,13,W 1,
23,Fri Dec 1 2017,7:00p ET,,Box Score,,Golden State Warriors,L,,112,133,9,14,L 1,
24,Sun Dec 3 2017,3:30p ET,,Box Score,@,New York Knicks,W,,105,100,10,14,W 1,
25,Mon Dec 4 2017,7:00p ET,,Box Score,@,Charlotte Hornets,L,,94,104,10,15,L 1,
