G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Thu Oct 19 2017,8:00p ET,,Box Score,,New York Knicks,W,,105,84,1,0,W 1,
2,Sat Oct 21 2017,9:00p ET,,Box Score,@,Utah Jazz,L,,87,96,1,1,L 1,
3,Sun Oct 22 2017,7:00p ET,,Box Score,,Minnesota Timberwolves,L,,113,115,1,2,L 2,
4,Wed Oct 25 2017,8:00p ET,,Box Score,,Indiana Pacers,W,,114,96,2,2,W 1,
5,Fri Oct 27 2017,8:00p ET,,Box Score,@,Minnesota Timberwolves,L,,116,119,2,3,L 1,
6,Sat Oct 28 2017,8:00p ET,,Box Score,@,Chicago Bulls,W,,101,69,3,3,W 1,
7,Tue Oct 31 2017,8:00p ET,,Box Score,@,Milwaukee Bucks,W,,110,91,4,3,W 2,
8,Fri Nov 3 2017,9:30p ET,,Box Score,,Boston Celtics,L,,94,101,4,4,L 1,
9,Sun Nov 5 2017,9:00p ET,,Box Score,@,Portland Trail Blazers,L,,99,103,4,5,L 2,
10,Tue Nov 7 2017,10:00p ET,,Box Score,@,Sacramento Kings,L,,86,94,4,6,L 3,
11,Thu Nov 9 2017,10:30p ET,,Box Score,@,Denver Nuggets,L,,94,102,4,7,L 4,
12,Fri Nov 10 2017,9:00p ET,,Box Score,,Los Angeles Clippers,W,,120,111,5,7,W 1,
13,Sun Nov 12 2017,7:00p ET,,Box Score,,Dallas Mavericks,W,,112,99,6,7,W 2,
14,Wed Nov 15 2017,8:00p ET,,Box Score,,Chicago Bulls,W,,92,79,7,7,W 3,
15,Fri Nov 17 2017,8:00p ET,,Box Score,@,San Antonio Spurs,L,,101,104,7,8,L 1,
16,Mon Nov 20 2017,8:00p ET,,Box Score,@,New Orleans Pelicans,L,,107,114,7,9,L 2,
17,Wed Nov 22 2017,8:00p ET,,Box Score,,Golden State Warriors,W,,108,91,8,9,W 1,
18,Fri Nov 24 2017,8:00p ET,,Box Score,,Detroit Pistons,L,,98,99,8,10,L 1,
19,Sat Nov 25 2017,8:30p ET,,Box Score,@,Dallas Mavericks,L,,81,97,8,11,L 2,
20,Wed Nov 29 2017,7:00p ET,,Box Score,@,Orlando Magic,L,,108,121,8,12,L 3,
21,Fri Dec 1 2017,8:00p ET,,Box Score,,Minnesota Timberwolves,W,,111,107,9,12,W 1,
