G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
22,Sun Dec 3 2017,7:00p ET,,Box Score,,San Antonio Spurs,W,,90,87,10,12,W 2,
23,Tue Dec 5 2017,8:00p ET,,Box Score,,Utah Jazz,W,,100,94,11,12,W 3,
24,Thu Dec 7 2017,10:00p ET,,Box Score,@,Brooklyn Nets,L,,95,100,11,13,L 1,
25,Sat Dec 9 2017,9:00p ET,,Box Score,@,Memphis Grizzlies,W,OT,102,101,12,13,W 1,
26,Mon Dec 11 2017,8:00p ET,,Box Score,,Charlotte Hornets,L,,103,116,12,14,L 1,
27,Wed Dec 13 2017,7:00p ET,,Box Score,@,Indiana Pacers,W,,100,95,13,14,W 1,
28,Fri Dec 15 2017,7:00p ET,,Box Score,@,Philadelphia 76ers,W,3OT,119,117,14,14,W 2,
29,Sat Dec 16 2017,7:30p ET,,Box Score,@,New York Knicks,L,,96,111,14,15,L 1,
30,Mon Dec 18 2017,8:00p ET,,Box Score,,Denver Nuggets,W,,95,94,15,15,W 1,
31,Wed Dec 20 2017,8:00p ET,,Box Score,,Utah Jazz,W,,107,79,16,15,W 2,
32,Fri Dec 22 2017,8:00p ET,,Box Score,,Atlanta Hawks,W,,120,117,17,15,W 3,
33,Sat Dec 23 2017,8:00p ET,,Box Score,@,Utah Jazz,W,,103,89,18,15,W 4,
34,Mon Dec 25 2017,8:00p ET,,Box Score,,Houston Rockets,W,,112,107,19,15,W 5,
35,Wed Dec 27 2017,8:00p ET,,Box Score,,Toronto Raptors,W,,124,107,20,15,W 6,
36,Fri Dec 29 2017,8:00p ET,,Box Score,,Milwaukee Bucks,L,,95,97,20,16,L 1,
37,Sun Dec 31 2017,7:00p ET,,Box Score,,Dallas Mavericks,L,,113,116,20,17,L 2,
38,Wed Jan 3 2018,10:30p ET,,Box Score,@,Los Angeles Lakers,W,,133,96,21,17,W 1,
39,Thu Jan 4 2018,10:30p ET,,Box Score,@,Los Angeles Clippers,W,,127,117,22,17,W 2,
40,Sun Jan 7 2018,8:00p ET,,Box Score,@,Phoenix Suns,L,,100,114,22,18,L 1,
41,Tue Jan 9 2018,8:00p ET,,Box Score,,Portland Trail Blazers,L,,106,117,22,19,L 2,
42,Wed Jan 10 2018,8:00p ET,,Box Score,@,Minnesota Timberwolves,L,,88,104,22,20,L 3,
43,Sat Jan 13 2018,5:00p ET,,Box Score,@,Charlotte Hornets,W,,101,91,23,20,W 1,
44,Mon Jan 15 2018,8:00p ET,,Box Score,,Sacramento Kings,W,,95,88,24,20,W 2,
45,Wed Jan 17 2018,8:00p ET,,Box Score,,Los Angeles Lakers,W,,114,90,25,20,W 3,
46,Sat Jan 20 2018,3:30p ET,,Box Score,@,Cleveland Cavaliers,W,,148,124,26,20,W 4,
47,Tue Jan 23 2018,8:00p ET,,Box Score,,Brooklyn Nets,W,,109,108,27,20,W 5,
48,Thu Jan 25 2018,8:00p ET,,Box Score,,Washington Wizards,W,,121,112,28,20,W 6,
49,Sat Jan 27 2018,5:00p ET,,Box Score,@,Detroit Pistons,W,,121,108,29,20,W 7,
50,Sun Jan 28 2018,6:00p ET,,Box Score,,Philadelphia 76ers,W,,122,112,30,20,W 8,
51,Tue Jan 30 2018,7:00p ET,,Box Score,@,Washington Wizards,L,,96,102,30,21,L 1,
52,Thu Feb 1 2018,10:30p ET,,Box Score,@,Denver Nuggets,L,,124,127,30,22,L 2,
53,Fri Feb 2 2018,9:00p ET,,Box Score,,New Orleans Pelicans,L,,100,114,30,23,L 3,
54,Sun Feb 4 2018,2:00p ET,,Box Score,,Los Angeles Lakers,L,,104,108,30,24,L 4,
55,Tue Feb 6 2018,10:30p ET,,Box Score,@,Golden State Warriors,W,,125,105,31,24,W 1,
56,Thu Feb 8 2018,10:30p ET,,Box Score,@,Los Angeles Lakers,L,,81,106,31,25,L 1,
57,Sun Feb 11 2018,7:00p ET,,Box Score,,Memphis Grizzlies,W,,110,92,32,25,W 1,
58,Tue Feb 13 2018,8:00p ET,,Box Score,,Cleveland Cavaliers,L,,112,120,32,26,L 1,
59,Wed Feb 14 2018,8:00p ET,,Box Score,@,Memphis Grizzlies,W,,121,114,33,26,W 1,
