G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
36,Fri Dec 29 2017,7:00p ET,,Box Score,,Houston Rockets,W,,121,103,20,16,W 1,
37,Sun Dec 31 2017,3:30p ET,,Box Score,,Chicago Bulls,W,,114,110,21,16,W 2,
38,Wed Jan 3 2018,7:00p ET,,Box Score,,New York Knicks,W,,121,103,22,16,W 3,
39,Fri Jan 5 2018,9:30p ET,,Box Score,@,Memphis Grizzlies,W,,102,100,23,16,W 4,
40,Sat Jan 6 2018,8:00p ET,,Box Score,,Milwaukee Bucks,L,,103,110,23,17,L 1,
41,Wed Jan 10 2018,7:00p ET,,Box Score,,Utah Jazz,L,,104,107,23,18,L 2,
42,Fri Jan 12 2018,7:00p ET,,Box Score,,Orlando Magic,W,,125,119,24,18,W 1,
43,Sat Jan 13 2018,7:00p ET,,Box Score,,Brooklyn Nets,W,OT,119,113,25,18,W 2,
44,Mon Jan 15 2018,2:00p ET,,Box Score,,Milwaukee Bucks,L,,95,104,25,19,L 1,
45,Wed Jan 17 2018,7:00p ET,,Box Score,@,Charlotte Hornets,L,,109,133,25,20,L 2,
46,Fri Jan 19 2018,8:00p ET,,Box Score,@,Detroit Pistons,W,,122,112,26,20,W 1,
47,Mon Jan 22 2018,8:30p ET,,Box Score,@,Dallas Mavericks,L,,75,98,26,21,L 1,
48,Thu Jan 25 2018,8:00p ET,,Box Score,@,Oklahoma City Thunder,L,,112,121,26,22,L 2,
49,Sat Jan 27 2018,7:30p ET,,Box Score,@,Atlanta Hawks,W,,129,104,27,22,W 1,
50,Tue Jan 30 2018,7:00p ET,,Box Score,,Oklahoma City Thunder,W,,102,96,28,22,W 2,
51,Thu Feb 1 2018,7:00p ET,,Box Score,,Toronto Raptors,W,,122,119,29,22,W 3,
52,Sat Feb 3 2018,7:00p ET,,Box Score,@,Orlando Magic,W,,115,98,30,22,W 4,
53,Mon Feb 5 2018,7:00p ET,,Box Score,@,Indiana Pacers,W,,111,102,31,22,W 5,
54,Tue Feb 6 2018,8:00p ET,,Box Score,@,Philadelphia 76ers,L,,102,115,31,23,L 1,
55,Thu Feb 8 2018,8:00p ET,,Box Score,,Boston Celtics,L,OT,104,110,31,24,L 2,
56,Sat Feb 10 2018,8:00p ET,,Box Score,@,Chicago Bulls,W,,101,90,32,24,W 1,
57,Wed Feb 14 2018,7:30p ET,,Box Score,@,New York Knicks,W,,118,113,33,24,W 2,
