G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Thu Jan 11 2018,10:30p ET,,Box Score,,San Antonio Spurs,W,,93,81,14,27,W 3,
42,Sat Jan 13 2018,2:00p ET,,Box Score,@,Dallas Mavericks,W,OT,107,101,15,27,W 4,
43,Mon Jan 15 2018,5:30p ET,,Box Score,@,Memphis Grizzlies,L,,114,123,15,28,L 1,
44,Wed Jan 17 2018,8:00p ET,,Box Score,@,Oklahoma City Thunder,L,,90,114,15,29,L 2,
45,Fri Jan 19 2018,10:30p ET,,Box Score,,Indiana Pacers,W,,99,86,16,29,W 1,
46,Sun Jan 21 2018,3:30p ET,,Box Score,,New York Knicks,W,,127,107,17,29,W 2,
47,Tue Jan 23 2018,10:30p ET,,Box Score,,Boston Celtics,W,,108,107,18,29,W 3,
48,Fri Jan 26 2018,8:00p ET,,Box Score,@,Chicago Bulls,W,,108,103,19,29,W 4,
49,Sun Jan 28 2018,6:00p ET,,Box Score,@,Toronto Raptors,L,,111,123,19,30,L 1,
50,Wed Jan 31 2018,7:00p ET,,Box Score,@,Orlando Magic,L,,105,127,19,31,L 2,
51,Fri Feb 2 2018,7:30p ET,,Box Score,@,Brooklyn Nets,W,,102,99,20,31,W 1,
52,Sun Feb 4 2018,2:00p ET,,Box Score,@,Oklahoma City Thunder,W,,108,104,21,31,W 2,
53,Tue Feb 6 2018,10:30p ET,,Box Score,,Phoenix Suns,W,,112,93,22,31,W 3,
54,Thu Feb 8 2018,10:30p ET,,Box Score,,Oklahoma City Thunder,W,,106,81,23,31,W 4,
55,Sat Feb 10 2018,8:30p ET,,Box Score,@,Dallas Mavericks,L,,123,130,23,32,L 1,
56,Wed Feb 14 2018,8:00p ET,,Box Score,@,New Orleans Pelicans,L,,117,139,23,33,L 2,
