G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 18 2017,7:00p ET,,Box Score,@,Orlando Magic,L,,109,116,0,1,L 1,
2,Sat Oct 21 2017,8:00p ET,,Box Score,,Indiana Pacers,W,,112,108,1,1,W 1,
3,Mon Oct 23 2017,7:30p ET,,Box Score,,Atlanta Hawks,W,,104,93,2,1,W 2,
4,Wed Oct 25 2017,8:00p ET,,Box Score,,San Antonio Spurs,L,,100,117,2,2,L 1,
5,Sat Oct 28 2017,8:00p ET,,Box Score,,Boston Celtics,L,,90,96,2,3,L 2,
6,Mon Oct 30 2017,7:30p ET,,Box Score,,Minnesota Timberwolves,L,OT,122,125,2,4,L 3,
7,Wed Nov 1 2017,7:30p ET,,Box Score,,Chicago Bulls,W,,97,91,3,4,W 1,
8,Fri Nov 3 2017,9:00p ET,,Box Score,@,Denver Nuggets,L,,94,95,3,5,L 1,
9,Sun Nov 5 2017,3:30p ET,,Box Score,@,Los Angeles Clippers,W,,104,101,4,5,W 1,
10,Mon Nov 6 2017,10:30p ET,,Box Score,@,Golden State Warriors,L,,80,97,4,6,L 1,
11,Wed Nov 8 2017,9:00p ET,,Box Score,@,Phoenix Suns,W,,126,115,5,6,W 1,
12,Fri Nov 10 2017,9:00p ET,,Box Score,@,Utah Jazz,W,,84,74,6,6,W 2,
13,Sun Nov 12 2017,4:00p ET,,Box Score,@,Detroit Pistons,L,,103,112,6,7,L 1,
14,Wed Nov 15 2017,7:30p ET,,Box Score,,Washington Wizards,L,,93,102,6,8,L 2,
15,Fri Nov 17 2017,7:00p ET,,Box Score,@,Washington Wizards,W,,91,88,7,8,W 1,
16,Sun Nov 19 2017,5:00p ET,,Box Score,,Indiana Pacers,L,,95,120,7,9,L 1,
17,Wed Nov 22 2017,7:30p ET,,Box Score,,Boston Celtics,W,,104,98,8,9,W 1,
18,Fri Nov 24 2017,8:00p ET,,Box Score,@,Minnesota Timberwolves,W,,109,97,9,9,W 2,
19,Sun Nov 26 2017,3:30p ET,,Box Score,@,Chicago Bulls,W,,100,93,10,9,W 3,
20,Tue Nov 28 2017,7:00p ET,,Box Score,@,Cleveland Cavaliers,L,,97,108,10,10,L 1,
21,Wed Nov 29 2017,7:30p ET,,Box Score,@,New York Knicks,L,,86,115,10,11,L 2,
22,Fri Dec 1 2017,8:00p ET,,Box Score,,Charlotte Hornets,W,,105,100,11,11,W 1,
23,Sun Dec 3 2017,7:00p ET,,Box Score,,Golden State Warriors,L,,95,123,11,12,L 1,
